e x y z
C -17.517159205158766 -12.658456517487345 -24.63541272782789
H -12.259429205158767 -12.658086517487344 -22.38529872782789
H -12.457019205158767 -14.938409517487345 -23.30545172782789
H -14.586840205158767 -15.693519517487346 -24.32600272782789
H -14.119739205158767 -11.046629517487345 -22.53745972782789
H -17.187009205158766 -14.668929517487346 -25.31387272782789
H -16.527449205158767 -10.766049517487346 -24.36772272782789
H -17.297349205158767 -11.381449517487345 -22.90964872782789
H -18.431409205158765 -12.464916517487346 -25.102262727827892
Cl -4.6989392051587675 -15.404069517487345 -26.99231272782789
C -5.6984492051587665 -14.503189517487346 -29.10730272782789
C -6.935459205158766 -13.958720517487345 -28.89402272782789
H -7.372289205158767 -13.965994517487346 -27.94943272782789
C -7.6653692051587665 -13.434436517487345 -30.05072272782789
H -8.637479205158767 -13.031716517487345 -30.00709272782789
C -6.934329205158766 -13.498338517487346 -31.195072727827892
Cl -6.683499205158768 -12.949191517487344 -33.75085272782789
C -5.742619205158768 -13.964677517487345 -31.49512272782789
Cl -4.612739205158768 -13.996531517487345 -33.61675272782789
C -5.074039205158767 -14.549229517487346 -30.36428272782789
H -4.103439205158766 -14.982879517487346 -30.47345272782789
Cl -2.6916392051587668 -18.801359517487345 -19.04879272782789
C -3.270739205158767 -18.128229517487345 -21.19374272782789
C -4.638639205158768 -17.846599517487345 -21.24970272782789
H -5.292239205158767 -17.989869517487346 -20.39638272782789
C -5.1631392051587675 -17.560339517487346 -22.54104172782789
H -6.196839205158767 -17.450979517487347 -22.71085072782789
C -4.252039205158766 -17.434049517487345 -23.55956272782789
Cl -3.447639205158767 -17.016799517487346 -25.72686272782789
C -2.9342392051587662 -17.653849517487345 -23.45965672782789
Cl -1.2398392051587663 -17.461029517487347 -25.25319272782789
C -2.3411392051587665 -18.116239517487344 -22.21323472782789
H -1.3491392051587674 -18.311499517487345 -22.04328272782789
Cl -0.733439205158767 -16.191869517487344 -11.636352727827889
C -1.888139205158767 -16.971029517487345 -13.34616272782789
C -1.8898392051587667 -18.333249517487346 -13.55329272782789
H -1.369139205158767 -18.996519517487346 -12.93375272782789
C -2.5777392051587675 -18.831189517487346 -14.72811272782789
H -2.5415392051587666 -19.863799517487344 -14.94028272782789
C -3.3029392051587667 -17.964009517487344 -15.53423272782789
Cl -4.711739205158766 -18.643739517487347 -17.74666272782789
C -3.2919392051587675 -16.715669517487346 -15.25219272782789
Cl -4.681439205158767 -16.303049517487345 -17.07596272782789
C -2.5980392051587664 -16.130749517487345 -14.18809272782789
H -2.6425392051587675 -15.045969517487345 -14.05936272782789
Cl -2.4524392051587665 -10.254459517487344 -27.32313272782789
C -3.9012392051587668 -9.914889517487346 -29.27390272782789
C -5.005039205158766 -10.726609517487345 -29.261602727827892
H -5.199639205158768 -11.397549517487345 -28.475382727827892
C -5.877439205158767 -10.608259517487346 -30.424912727827888
H -6.7995392051587675 -11.107459517487346 -30.53298272782789
C -5.440689205158767 -9.694759517487345 -31.33702272782789
Cl -5.737129205158768 -8.499589517487344 -33.51745272782789
C -4.399039205158767 -8.848589517487344 -31.417682727827888
Cl -3.6772392051587666 -7.340849517487345 -32.93140272782789
C -3.5728392051587665 -9.001829517487344 -30.22916272782789
H -2.680539205158766 -8.426439517487346 -30.14548272782789
Cl -1.8233392051587671 -7.8805295174873455 -19.38881272782789
C -3.3075392051587666 -8.425839517487345 -21.104802727827888
C -4.6399392051587665 -8.769569517487344 -20.86198272782789
H -5.0385392051587665 -8.745289517487345 -19.89274272782789
C -5.454169205158767 -9.014029517487344 -21.98683272782789
H -6.470739205158766 -9.260829517487345 -21.91000272782789
C -4.745239205158766 -8.856429517487346 -23.20585172782789
Cl -4.706039205158767 -8.879989517487346 -25.78206272782789
C -3.5503392051587674 -8.614239517487345 -23.48210672782789
Cl -2.3075392051587666 -8.287939517487345 -25.99617272782789
C -2.6890392051587675 -8.383579517487345 -22.32845672782789
H -1.6719392051587665 -8.163279517487346 -22.39683372782789
Cl -3.001839205158767 -11.115659517487344 -12.281952727827889
C -4.418839205158767 -10.248219517487346 -13.87272272782789
C -5.764309205158767 -10.449099517487346 -13.63817272782789
H -6.1202992051587675 -11.011989517487345 -12.79155272782789
C -6.600129205158767 -9.679129517487345 -14.53625272782789
H -7.637869205158767 -9.748089517487346 -14.47013272782789
C -5.890409205158766 -8.927389517487345 -15.44758272782789
Cl -6.1690292051587665 -7.347489517487345 -17.24083272782789
C -4.605339205158767 -8.721289517487346 -15.740142727827891
Cl -3.6691392051587677 -7.591479517487345 -17.66946272782789
C -3.7996392051587673 -9.483849517487345 -14.86233272782789
H -2.7427392051587667 -9.464649517487345 -14.97206272782789
Cl 5.1932607948412315 18.260240482512657 -27.14941272782789
C 4.683760794841232 -19.553029517487346 -28.87963272782789
C 3.3656607948412347 -19.305149517487344 -29.17409272782789
H 2.5785607948412324 -19.651819517487347 -28.49219272782789
C 2.9679607948412343 -18.579169517487344 -30.40249272782789
H 1.9537607948412319 -18.350329517487346 -30.657062727827892
C 4.025760794841235 -17.977479517487346 -31.00361272782789
Cl 4.861560794841234 -16.506739517487347 -32.45769272782789
C 5.327760794841234 -18.137829517487347 -30.69561272782789
Cl 7.240360794841232 -16.871819517487346 -32.22213272782789
C 5.6919607948412345 -19.068219517487346 -29.69801272782789
H 6.740560794841235 -19.283699517487346 -29.52829272782789
Cl 6.220560794841232 -17.679909517487346 -20.00177272782789
C 4.566460794841232 -17.337369517487346 -21.96025272782789
C 3.3098607948412333 -17.328979517487344 -21.41913272782789
H 3.1980607948412345 -17.394279517487345 -20.38882272782789
C 2.207860794841233 -17.156399517487344 -22.37807772782789
H 1.1994607948412348 -17.055509517487344 -22.08709972782789
C 2.648860794841232 -17.082619517487345 -23.65133072782789
Cl 2.121360794841232 -16.888209517487347 -26.19090272782789
C 3.8547607948412317 -17.063919517487346 -24.20627272782789
Cl 4.442960794841232 -16.733269517487344 -26.43002272782789
C 4.932360794841232 -17.231469517487344 -23.26420872782789
H 5.926360794841232 -17.274609517487345 -23.54111372782789
Cl 5.642160794841233 -17.562469517487344 -11.10475272782789
C 4.565260794841235 -17.485939517487346 -13.10603272782789
C 3.212860794841232 -17.450359517487346 -12.81185272782789
H 2.8475607948412343 -17.453839517487346 -11.77415272782789
C 2.331760794841232 -17.409859517487345 -13.96900272782789
H 1.2918607948412326 -17.383599517487347 -13.84341272782789
C 2.924660794841232 -17.396419517487345 -15.20764272782789
Cl 3.034060794841233 -17.313379517487345 -17.61616272782789
C 4.237660794841235 -17.438899517487346 -15.52413272782789
Cl 5.228260794841232 -17.546709517487344 -17.91416272782789
C 5.101160794841233 -17.490599517487347 -14.40467272782789
H 6.212860794841232 -17.571179517487344 -14.48562272782789
Cl 6.527060794841232 -9.523149517487346 -28.42434272782789
C 5.545660794841234 -9.209569517487346 -30.60440272782789
C 4.285160794841234 -9.775679517487346 -30.39706272782789
H 3.8830607948412332 -10.017749517487346 -29.47795272782789
C 3.518760794841233 -9.787189517487345 -31.64967272782789
H 2.5353607948412336 -10.120589517487346 -31.711102727827893
C 4.014160794841233 -9.205399517487345 -32.79416272782789
Cl 2.2892607948412316 -8.894729517487345 33.26594727217211
C 5.254860794841234 -8.669079517487345 -32.841722727827886
Cl 4.687060794841232 -8.066179517487345 33.40504727217211
C 6.134760794841233 -8.672469517487345 -31.73551272782789
H 7.127660794841232 -8.261879517487344 -31.83580272782789
Cl 5.0987607948412315 -9.565379517487345 -19.63025272782789
C 4.366860794841232 -9.555519517487346 -21.85124272782789
C 3.867960794841233 -8.302109517487345 -22.18648972782789
H 3.777960794841233 -7.4999695174873455 -21.52242272782789
C 3.633660794841232 -8.232329517487345 -23.62399572782789
H 3.3904607948412337 -7.312009517487345 -24.10664272782789
C 3.7986607948412345 -9.408259517487345 -24.36677272782789
Cl 3.084760794841232 -8.419119517487346 -26.63913272782789
C 4.244060794841234 -10.562159517487345 -23.940928727827888
Cl 4.001660794841234 -11.409529517487345 -26.00068272782789
C 4.589960794841234 -10.721239517487344 -22.60023372782789
H 4.992160794841235 -11.671809517487345 -22.25254472782789
Cl 3.2831607948412316 -7.591979517487346 -13.63846272782789
C 2.039160794841232 -8.820629517487346 -15.425102727827891
C 0.6628607948412331 -8.850139517487346 -15.55502272782789
H 0.03496079484123271 -8.303219517487346 -14.92634272782789
C 0.10826079484123241 -9.539469517487346 -16.70534272782789
H -0.9045392051587662 -9.632349517487345 -16.91371272782789
C 1.0995607948412331 -10.185429517487345 -17.41435272782789
Cl 1.742960794841233 -11.668799517487345 -19.10230272782789
C 2.376560794841234 -10.243599517487345 -17.31720272782789
Cl 4.052060794841234 -11.690209517487345 -19.13856272782789
C 2.932460794841232 -9.472409517487346 -16.26315272782789
H 4.023960794841232 -9.366039517487344 -16.11937272782789
C 1.7036607948412321 -12.964002517487346 -22.62744672782789
C 1.732660794841232 -14.117016517487345 -23.43964172782789
C 0.5745607948412328 -14.476659517487345 -24.17435272782789
C -0.5546392051587663 -13.622852517487345 -24.11387272782789
C 0.5610607948412341 -12.117509517487346 -22.53323272782789
C -0.5779392051587671 -12.444060517487346 -23.26948172782789
C -1.8222392051587661 -13.649560517487345 -24.900782727827888
C -1.9350392051587662 -11.704079517487346 -23.48042872782789
C -2.5778392051587673 -12.563160517487345 -24.56954272782789
H 2.5533607948412342 -12.751528517487346 -22.04095272782789
H 2.606860794841234 -14.690849517487345 -23.53313872782789
H 0.5228607948412325 -15.334349517487345 -24.79344272782789
H 0.5695607948412338 -11.264739517487346 -21.89480272782789
H -2.064239205158767 -14.344539517487345 -25.66070272782789
H -1.733139205158766 -10.701979517487345 -23.82625472782789
H -2.523539205158766 -11.692999517487346 -22.58217172782789
H -3.4783392051587665 -12.322637517487346 -25.04794272782789
Cl 10.434560794841234 -15.564789517487345 -27.22394272782789
C 9.352460794841233 -14.615349517487346 -29.121792727827888
C 8.069860794841235 -14.343139517487344 -28.73185272782789
H 7.704460794841234 -14.556339517487345 -27.74496272782789
C 7.185160794841233 -13.788518517487345 -29.77361272782789
H 6.145360794841233 -13.586825517487345 -29.59892272782789
C 7.841560794841234 -13.639306517487345 -30.94343272782789
Cl 7.876760794841234 -12.866608517487345 -33.52455272782789
C 9.074060794841232 -13.872092517487346 -31.406042727827888
Cl 10.117460794841234 -13.566160517487345 -33.44645272782789
C 9.887860794841233 -14.436279517487346 -30.35877272782789
H 10.879460794841235 -14.694889517487345 -30.58830272782789
Cl 12.344260794841235 -18.773279517487346 -18.99676272782789
C 11.800760794841233 -18.091889517487346 -21.08686272782789
C 10.460260794841234 -17.891689517487343 -21.24181272782789
H 9.850760794841234 -18.061919517487347 -20.36490272782789
C 9.744960794841232 -17.297939517487343 -22.35438272782789
H 8.710160794841235 -17.133609517487344 -22.45359272782789
C 10.696960794841234 -17.230299517487346 -23.36381472782789
Cl 11.504760794841234 -17.008299517487345 -25.47694272782789
C 12.015660794841233 -17.500919517487347 -23.27192672782789
Cl 13.699860794841234 -17.224449517487344 -25.16882272782789
C 12.751860794841233 -17.903109517487344 -22.10372672782789
H 13.766860794841234 -18.101089517487345 -22.07473772782789
Cl 14.184260794841235 -15.961779517487345 -11.80205272782789
C 13.187760794841234 -17.105229517487345 -13.36177272782789
C 13.040660794841232 -18.465639517487347 -13.59907272782789
H 13.479160794841233 -19.166069517487344 -12.954952727827889
C 12.287860794841235 -18.917009517487344 -14.71878272782789
H 12.155160794841231 -19.956919517487346 -14.94262272782789
C 11.711360794841232 -17.873009517487347 -15.46706272782789
Cl 10.354560794841232 -18.488769517487345 -17.58392272782789
C 11.842960794841234 -16.646679517487346 -15.25447272782789
Cl 10.392260794841233 -16.147409517487347 -17.16651272782789
C 12.627160794841233 -16.113409517487344 -14.18567272782789
H 12.714260794841232 -15.054719517487346 -13.94682272782789
Cl 11.784960794841234 -10.438199517487345 -27.18181272782789
C 10.698660794841233 -10.022249517487346 -29.403592727827892
C 9.587260794841233 -10.819359517487346 -29.68613272782789
H 9.237460794841232 -11.571619517487346 -29.04096272782789
C 8.977260794841234 -10.564869517487345 -30.94889272782789
H 8.114760794841233 -11.088439517487345 -31.28801272782789
C 9.513460794841235 -9.474079517487345 -31.65290272782789
Cl 9.485960794841231 -7.916899517487345 -33.41545272782789
C 10.534360794841232 -8.682279517487345 -31.38300272782789
Cl 11.429860794841234 -6.923049517487345 -32.87358272782789
C 11.262060794841235 -9.066579517487344 -30.17850272782789
H 12.158860794841233 -8.547249517487344 -29.88046272782789
Cl 13.456160794841233 -8.147459517487345 -19.39456272782789
C 11.932660794841235 -8.570139517487345 -21.56427272782789
C 10.657660794841233 -8.895729517487347 -21.23259272782789
H 10.296060794841233 -8.932459517487345 -20.22594272782789
C 9.778460794841232 -9.374659517487345 -22.31055272782789
H 8.785060794841234 -9.713979517487346 -22.12454272782789
C 10.224660794841233 -9.168989517487345 -23.57716472782789
Cl 10.732560794841232 -8.825869517487344 -25.933532727827888
C 11.471160794841234 -8.774339517487345 -23.86822572782789
