e x y z
Cl -19.87041920515877 10.772940482512654 -27.17837272782789
C -20.830809205158765 11.717240482512656 -29.371232727827888
C -22.044139205158768 12.243740482512655 -29.02161272782789
H -22.371389205158767 12.170940482512654 -28.01437272782789
C 22.391360794841233 12.896640482512653 -29.99240272782789
H 21.431060794841237 13.312440482512654 -29.76626272782789
C -22.331839205158765 12.930640482512656 -31.26173272782789
Cl -22.098659205158768 13.432540482512655 -33.49415272782789
C -21.128789205158768 12.408340482512655 -31.661472727827892
Cl -19.910749205158766 12.348240482512656 -33.70965272782789
C -20.313229205158766 11.749040482512656 -30.66688272782789
H -19.435829205158768 11.289540482512654 -30.880792727827888
Cl -17.474799205158767 7.472740482512654 -19.10015272782789
C -18.430869205158768 8.231840482512654 -21.02683272782789
C -19.762019205158765 8.510040482512656 -21.08495272782789
H -20.333139205158766 8.426640482512655 -20.190292727827888
C -20.278839205158768 8.898940482512655 -22.39047872782789
H -21.277189205158766 9.197840482512655 -22.50405072782789
C -19.393799205158768 9.001740482512654 -23.42632972782789
Cl -18.784209205158767 9.501040482512655 -25.68584272782789
C -18.047639205158767 8.759140482512654 -23.42104072782789
Cl -16.522339205158765 8.919240482512654 -25.10791272782789
C -17.570739205158766 8.346840482512656 -22.10366472782789
H -16.513739205158767 8.086440482512655 -22.03747272782789
Cl -15.807692205158768 9.795740482512654 -11.56155272782789
C -16.989699205158768 9.298940482512654 -13.37527272782789
C -17.03407920515877 7.916740482512656 -13.58063272782789
H -16.583779205158766 7.239240482512654 -12.93475272782789
C -17.74541920515877 7.401640482512656 -14.74593272782789
H -17.836379205158767 6.369340482512653 -14.95801272782789
C -18.319629205158765 8.333540482512655 -15.55149272782789
Cl -19.620669205158766 7.629040482512655 -17.61971272782789
C -18.322929205158765 9.690840482512654 -15.40566272782789
Cl -19.580139205158765 10.067140482512654 -17.27908272782789
C -17.643929205158766 10.153840482512654 -14.28043272782789
H -17.612269205158768 11.182040482512656 -14.10685272782789
Cl -17.31523920515877 15.909740482512655 -27.52800272782789
C -19.009029205158768 16.276540482512658 -29.422472727827888
C -20.292469205158767 15.796340482512656 -29.33304272782789
H -20.68647920515877 15.271440482512654 -28.50956272782789
C -21.115649205158768 16.174140482512655 -30.45489272782789
H -22.11994920515877 15.973240482512656 -30.57233272782789
C -20.489619205158768 16.954740482512655 -31.40657272782789
Cl -20.798569205158767 18.243940482512656 -33.34565272782789
C -19.234079205158768 17.423440482512653 -31.51964272782789
Cl -18.52590920515877 18.594340482512656 -33.41755272782789
C -18.38541920515877 16.998540482512652 -30.43843272782789
H -17.31147920515877 17.298340482512657 -30.28873272782789
Cl -16.95524920515877 18.239540482512652 -19.43781272782789
C -18.421979205158767 17.766740482512652 -21.38054272782789
C -19.702259205158768 17.462540482512658 -21.00946272782789
H -19.955389205158767 17.404240482512655 -20.00659272782789
C -20.722379205158767 17.266340482512653 -22.04942272782789
H -21.728389205158766 17.010640482512656 -21.84098272782789
C -20.241429205158767 17.31894048251265 -23.34060772782789
Cl -20.091279205158767 17.233640482512655 -25.656512727827888
C -18.982299205158768 17.594940482512655 -23.63989772782789
Cl -17.608729205158767 17.557540482512657 -25.89456272782789
C -17.967469205158768 17.866340482512655 -22.67511172782789
H -16.951529205158767 18.114040482512657 -22.87501472782789
Cl -17.828909205158766 15.117240482512655 -12.28045272782789
C -19.052729205158766 15.821040482512656 -13.87712272782789
C -20.374229205158766 15.481240482512655 -13.62531272782789
H -20.707199205158766 14.950140482512653 -12.76955272782789
C -21.347649205158767 16.135240482512657 -14.50502272782789
H -22.358299205158765 15.963240482512655 -14.42463272782789
C -20.79374920515877 16.931240482512656 -15.45816272782789
Cl -21.084019205158768 18.487540482512657 -17.35280272782789
C -19.520859205158768 17.250940482512654 -15.827752727827889
Cl -18.621699205158766 18.660840482512654 -17.77337272782789
C -18.584229205158767 16.602640482512655 -14.96332272782789
H -17.535359205158766 16.806440482512656 -15.11574272782789
Cl -9.900229205158766 4.816240482512656 -27.231862727827888
C -10.086119205158766 6.7997404825126555 -28.85123272782789
C -11.411779205158767 7.226940482512655 -28.83044272782789
H -12.079339205158767 6.9003404825126555 -28.14996272782789
C -11.850139205158767 8.065540482512654 -29.90448272782789
H -12.836469205158767 8.459740482512656 -29.96967272782789
C -10.839359205158766 8.525340482512656 -30.72806272782789
Cl -10.150269205158768 9.885340482512655 -32.52795272782789
C -9.605109205158767 8.202440482512655 -30.65606272782789
Cl -7.863499205158766 9.218740482512656 -32.29937272782789
C -9.126009205158766 7.270740482512656 -29.69030272782789
H -8.189579205158767 6.861340482512654 -29.78584272782789
Cl -8.919729205158767 8.523640482512656 -19.80257272782789
C -10.266349205158768 8.796440482512656 -21.60606272782789
C -11.609529205158767 8.580340482512655 -21.34430272782789
H -11.880399205158767 8.253540482512653 -20.37662272782789
C -12.610109205158768 8.658840482512653 -22.38444972782789
H -13.623129205158767 8.466740482512654 -22.17901772782789
C -12.193879205158767 8.890640482512653 -23.69447972782789
Cl -12.786459205158767 9.062640482512654 -26.03696272782789
C -10.905139205158767 9.123240482512655 -23.92319472782789
Cl -10.581369205158767 9.733740482512653 -26.13150272782789
C -9.888129205158766 9.080040482512656 -22.95198172782789
H -8.896749205158766 9.245940482512653 -23.23304872782789
Cl -8.917889205158767 9.680440482512656 -11.73045272782789
C -10.972529205158768 9.500240482512654 -13.15044272782789
C -12.347229205158767 9.565140482512655 -12.94195272782789
H -12.723589205158767 9.783640482512654 -11.95465272782789
C -13.178329205158768 9.447640482512655 -14.12774272782789
H -14.248119205158767 9.509540482512653 -14.07818272782789
C -12.507449205158768 9.278040482512656 -15.312922727827889
Cl -12.339639205158766 8.974440482512653 -17.58270272782789
C -11.180079205158766 9.198140482512654 -15.50836272782789
Cl -9.936739205158766 8.694540482512656 -17.72329272782789
C -10.328869205158767 9.298840482512654 -14.37046272782789
H -9.303109205158766 9.187640482512654 -14.49893272782789
Cl -8.855569205158766 16.413140482512652 -28.73777272782789
C -10.153419205158766 16.632140482512654 -30.64340272782789
C -11.459189205158767 16.44094048251265 -30.26620272782789
H -11.674749205158767 16.235940482512653 -29.22781272782789
C -12.550099205158766 16.506040482512653 -31.20919272782789
H -13.566869205158767 16.311140482512656 -30.98432272782789
C -12.111869205158767 16.858840482512655 -32.48108272782789
Cl -12.242029205158767 17.381340482512655 33.697247272172106
C -10.847869205158766 17.091740482512655 -32.88554272782789
Cl -9.815129205158767 18.161940482512655 33.268147272172115
C -9.795089205158767 16.945940482512654 -31.942172727827888
H -8.776179205158767 17.170540482512656 -32.175532727827886
Cl -10.161189205158767 16.307940482512656 -19.59373272782789
C -10.889959205158767 17.097440482512653 -21.71549272782789
C -11.284959205158767 18.375740482512654 -21.79578272782789
H -11.271279205158766 18.953040482512655 -20.92278272782789
C -11.628429205158767 18.885840482512656 -23.14186782782789
H -11.930579205158766 -19.505949517487345 -23.30709372782789
C -11.560259205158767 17.912340482512654 -24.03618972782789
Cl -11.906629205158767 17.020440482512655 -26.21407272782789
C -11.188699205158766 16.583740482512653 -23.95865372782789
Cl -11.165729205158767 15.033240482512655 -25.97182272782789
C -10.761349205158766 16.106440482512653 -22.72023872782789
H -10.434659205158766 15.143440482512654 -22.52437772782789
Cl -12.285659205158767 18.779440482512655 -13.84526272782789
C -13.054729205158766 17.377740482512657 -15.57943272782789
C -14.430966205158766 17.458840482512656 -15.69790272782789
H -15.075567205158768 17.96854048251266 -15.03396272782789
C -14.987311205158766 16.794340482512652 -16.87343272782789
H -15.998326205158767 16.902240482512653 -17.11386272782789
C -14.204509205158766 15.976940482512655 -17.65299272782789
Cl -13.326159205158767 14.598440482512656 -19.13379272782789
C -12.874739205158766 15.902940482512653 -17.39464272782789
Cl -10.994889205158767 14.260240482512655 -18.91105272782789
C -12.185029205158767 16.602740482512658 -16.40385272782789
H -11.101899205158766 16.612240482512654 -16.25779272782789
C -13.013909205158766 13.305140482512654 -22.78276372782789
C -13.173239205158767 12.055440482512656 -23.43514172782789
C -14.357850205158767 11.709940482512655 -24.12552272782789
C -15.390199005158767 12.685840482512655 -24.15667272782789
C -14.053579205158767 14.288040482512654 -22.78654572782789
C -15.232711605158768 13.942940482512656 -23.47356172782789
C -16.69811920515877 12.664140482512655 -24.86256272782789
C -16.519409205158766 14.780040482512655 -23.78777472782789
C -17.356369205158767 13.844440482512654 -24.68284272782789
H -12.126009205158766 13.501340482512655 -22.245403727827888
H -12.416059205158767 11.337240482512653 -23.41276572782789
H -14.474800205158767 10.795240482512655 -24.63547272782789
H -13.943689205158767 15.212340482512653 -22.29473972782789
H -17.065939205158767 11.889240482512653 -25.49671272782789
H -16.250978205158766 15.661240482512655 -24.34385272782789
H -17.045099205158767 15.082240482512654 -22.89926272782789
H -18.300279205158766 14.069640482512655 -25.07941272782789
Cl -4.898439205158766 11.033640482512654 -27.30090272782789
C -5.496719205158767 11.689440482512653 -29.31986272782789
C -6.797359205158767 12.105140482512654 -28.91957272782789
H -7.203259205158767 11.998940482512653 -27.923502727827888
C -7.657069205158767 12.641240482512655 -29.93924272782789
H -8.688919205158767 12.954840482512656 -29.81688272782789
C -6.962959205158766 12.668640482512656 -31.118142727827887
Cl -6.926509205158768 13.198840482512656 -33.54105272782789
C -5.761329205158766 12.297840482512656 -31.54402272782789
Cl -4.659939205158766 12.388040482512656 -33.63115272782789
C -4.868539205158767 11.728340482512655 -30.54713272782789
H -3.828639205158767 11.367640482512654 -30.683992727827892
Cl -2.723239205158766 7.291140482512654 -18.96218272782789
C -3.8467392051587677 8.120840482512653 -21.04352272782789
C -5.122639205158768 8.523840482512655 -21.31166272782789
H -5.9242392051587665 8.548340482512655 -20.62382272782789
C -5.2466392051587665 8.850140482512655 -22.72574672782789
H -6.148689205158767 9.197240482512656 -23.17656272782789
C -4.133339205158768 8.760240482512655 -23.49860572782789
Cl -3.5133392051587666 9.336140482512656 -26.05296272782789
C -2.920539205158766 8.395040482512654 -23.24365772782789
Cl -1.5323392051587668 8.527340482512654 -25.05843272782789
C -2.747139205158767 7.999740482512655 -21.89733272782789
H -1.7766392051587676 7.652940482512653 -21.57734272782789
Cl -0.5646392051587661 9.908040482512655 -11.80445272782789
C -1.8694392051587663 9.963940482512657 -13.48459272782789
C -1.8833392051587676 8.695640482512653 -14.04836272782789
H -1.3111392051587671 7.893240482512654 -13.64122272782789
C -2.7932392051587662 8.475240482512655 -15.176422727827891
H -2.8791392051587668 7.561640482512656 -15.67586272782789
C -3.5019392051587666 9.573440482512654 -15.57032272782789
Cl -4.896639205158767 7.3585404825126535 -17.54518272782789
C -3.4707392051587664 10.776040482512654 -15.02837272782789
Cl -4.908739205158767 11.324040482512656 -16.55229272782789
C -2.6688392051587666 11.053840482512653 -13.92217272782789
H -2.658839205158767 12.044340482512654 -13.46539272782789
Cl -2.1487392051587673 15.688040482512656 -27.69794272782789
C -3.577239205158767 16.148740482512657 -29.50809272782789
C -4.766239205158767 15.486840482512656 -29.49830272782789
H -4.961839205158768 14.825240482512656 -28.68255272782789
C -5.754999205158766 15.686440482512653 -30.562202727827888
H -6.686709205158767 15.214740482512655 -30.65605272782789
C -5.309579205158768 16.628940482512654 -31.450222727827892
Cl -5.6074892051587675 18.001740482512652 -33.30885272782789
C -4.134039205158766 17.301040482512654 -31.48749272782789
Cl -3.476539205158767 18.841640482512652 -33.07065272782789
C -3.154939205158767 17.021240482512653 -30.48740272782789
H -2.2383392051587663 17.594940482512655 -30.46587272782789
Cl -2.023839205158767 18.405240482512653 -19.45347272782789
C -3.445339205158767 18.023440482512655 -21.41405272782789
C -4.775539205158767 17.990040482512654 -21.12481272782789
H -5.146739205158767 18.083840482512656 -20.13921272782789
C -5.689189205158767 17.812340482512653 -22.25141372782789
H -6.720929205158766 17.784340482512654 -22.08802172782789
C -5.184639205158767 17.711340482512654 -23.52831772782789
Cl -4.838939205158766 17.529940482512657 -25.86070272782789
C -3.8926392051587673 17.773240482512655 -23.78818672782789
Cl -2.581739205158767 17.656840482512656 -26.34068272782789
C -2.9894392051587673 17.947440482512654 -22.70918572782789
H -1.9683392051587667 18.046740482512654 -22.92956372782789
Cl -2.803239205158766 14.806040482512655 -12.66995272782789
C -4.443939205158767 15.816040482512653 -14.09391272782789
C -5.802999205158766 15.612240482512656 -13.94855272782789
H -6.148739205158767 14.969140482512655 -13.21293272782789
C -6.662639205158767 16.368240482512654 -14.84826272782789
H -7.740809205158767 16.329240482512652 -14.84489272782789
C -5.971259205158766 17.142040482512655 -15.752992727827891
Cl -5.987909205158767 18.698240482512652 -17.56334272782789
C -4.667639205158768 17.364140482512653 -15.93779272782789
Cl -3.6284392051587666 18.733640482512655 -17.71547272782789
C -3.8412392051587663 16.650940482512652 -15.01280272782789
H -2.7649392051587665 16.714740482512653 -15.03488272782789
Cl 5.212560794841233 5.331940482512655 -27.18657272782789
C 4.767260794841233 6.935040482512656 -28.88345272782789
C 3.468160794841234 7.338740482512653 -29.03730272782789
H 2.7141607948412325 7.048940482512654 -28.358092727827888
C 3.2313607948412315 8.116240482512653 -30.23610272782789
H 2.298960794841234 8.535740482512656 -30.45958272782789
C 4.3276607948412344 8.463940482512657 -30.974742727827888
Cl 5.022860794841234 9.775840482512654 -32.56424272782789
C 5.650060794841233 8.134340482512654 -30.77771272782789
Cl 7.405760794841234 9.245940482512653 -32.29114272782789
C 5.860460794841233 7.2228404825126535 -29.71183272782789
H 6.843160794841234 6.748040482512655 -29.57450272782789
Cl 6.613160794841233 8.785340482512654 -19.89570272782789
C 5.144260794841232 8.857640482512656 -21.77177272782789
C 3.8921607948412333 8.440940482512653 -21.342222727827888
H 3.7304607948412336 8.155340482512655 -20.31647272782789
C 2.821760794841234 8.327140482512656 -22.31861672782789
H 1.8495607948412331 7.996340482512656 -22.12482172782789
C 3.1766607948412346 8.675540482512654 -23.60937072782789
Cl 2.2315607948412346 8.884240482512654 -26.01106272782789
C 4.3071607948412325 9.059440482512654 -24.02975772782789
Cl 4.389860794841232 9.681340482512654 -26.30327272782789
C 5.393160794841235 9.149640482512654 -23.09103002782789
H 6.341860794841233 9.391240482512655 -23.48507272782789
Cl 5.643960794841233 8.976840482512655 -11.17175272782789
C 4.395260794841233 9.170140482512656 -13.14248272782789
C 3.0276607948412337 9.333040482512656 -13.01945272782789
H 2.555860794841232 9.387140482512654 -12.09695272782789
C 2.2659607948412326 9.347540482512654 -14.26814272782789
H 1.2292607948412329 9.442140482512654 -14.34274272782789
C 3.1261607948412315 9.276640482512656 -15.32257272782789
Cl 3.0226607948412347 9.339240482512656 -17.76231272782789
C 4.4210607948412335 9.131640482512656 -15.54473272782789
Cl 5.3535607948412345 9.093040482512654 -17.89726272782789
C 5.120560794841234 9.017340482512656 -14.33567272782789
H 6.181560794841234 8.917340482512655 -14.30809272782789
Cl 6.311060794841234 17.031240482512658 -28.58884272782789
C 4.882660794841234 17.011240482512655 -30.597382727827892
C 3.6386607948412344 16.540740482512653 -30.32003272782789
H 3.410260794841234 16.229640482512657 -29.321102727827892
C 2.572560794841232 16.513540482512653 -31.343242727827892
H 1.627760794841235 16.180840482512657 -31.04999272782789
C 2.9774607948412335 16.920740482512656 -32.56825272782789
Cl 3.0636607948412315 17.440840482512655 33.49484727217211
C 4.202060794841232 17.361140482512653 -32.87058272782789
Cl 5.408160794841232 18.156240482512658 33.26114727217211
C 5.232960794841235 17.429440482512653 -31.872552727827888
H 6.164260794841232 17.827940482512652 -32.07304272782789
Cl 5.218260794841234 16.621140482512658 -19.72337272782789
C 4.477560794841233 17.108640482512655 -21.76912272782789
C 4.040660794841232 18.451440482512652 -21.76605272782789
H 4.065560794841234 19.08564048251266 -20.95168272782789
C 3.416360794841234 18.72134048251265 -23.06725832782789
H 2.994960794841232 -19.722169517487345 -23.26920872782789
C 3.475660794841234 17.754540482512652 -23.99066572782789
Cl 3.241360794841233 17.01884048251266 -26.20345272782789
C 3.9508607948412315 16.509940482512654 -23.89451572782789
Cl 3.8196607948412318 14.817740482512656 -25.78341272782789
C 4.469360794841235 16.026840482512654 -22.68302972782789
H 4.920960794841234 15.070640482512653 -22.45147072782789
Cl 3.545760794841234 18.625840482512658 -14.18762272782789
C 2.3749607948412343 17.348640482512657 -15.75189272782789
C 1.0162607948412319 17.531440482512657 -15.73829272782789
H 0.5853607948412325 18.228340482512657 -15.05563272782789
C 0.32276079484123343 16.71384048251265 -16.69352272782789
H -0.728539205158766 16.782440482512655 -16.80345272782789
C 1.077460794841235 15.961240482512656 -17.580022727827888
Cl 1.5494607948412327 14.638240482512655 -19.17781272782789
C 2.4362607948412336 15.844440482512654 -17.52570272782789
Cl 3.8558607948412327 14.716540482512654 -19.33581272782789
C 3.2254607948412346 16.534340482512654 -16.54958272782789
H 4.273360794841233 16.545840482512652 -16.46244272782789
C 2.115960794841234 13.326940482512656 -22.91612172782789
C 2.0426607948412343 12.072340482512656 -23.57827272782789
C 0.9017607948412323 11.712440482512656 -24.32013272782789
C -0.16953920515876675 12.648640482512656 -24.40881272782789
C 1.0082607948412328 14.234840482512654 -22.93774772782789
C -0.13163920515876626 13.887940482512656 -23.68296272782789
C -1.4306392051587675 12.591440482512654 -25.20987272782789
C -1.4816392051587677 14.613240482512653 -23.92633272782789
C -2.1711392051587666 13.715440482512653 -24.98127272782789
H 2.9686607948412327 13.614240482512654 -22.38646772782789
H 2.8519607948412347 11.407640482512656 -23.53510272782789
H 0.8064607948412341 10.747240482512654 -24.76588272782789
H 1.061560794841233 15.131540482512653 -22.37590872782789
H -1.7011392051587677 11.846140482512654 -25.91982272782789
H -1.3399392051587675 15.600740482512654 -24.29155272782789
H -2.0763392051587672 14.663040482512654 -23.02079252782789
H -3.0518392051587675 13.962040482512654 -25.49956272782789
Cl 9.992960794841233 11.133140482512653 -27.13534272782789
C 9.369360794841233 11.748740482512654 -29.08985272782789
C 8.115860794841234 12.329340482512654 -28.84989272782789
H 7.708560794841235 12.326840482512656 -27.87021272782789
C 7.2914607948412336 12.916540482512653 -29.90592272782789
H 6.340360794841233 13.326540482512653 -29.75457272782789
C 7.926160794841232 12.848140482512656 -31.11996272782789
Cl 7.960860794841233 13.330340482512655 -33.33115272782789
C 9.132460794841235 12.297240482512654 -31.34919272782789
Cl 9.975060794841232 12.333440482512655 -33.59755272782789
C 9.953660794841232 11.682640482512655 -30.37018272782789
H 10.883360794841233 11.256040482512654 -30.62309272782789
Cl 12.660860794841232 7.407340482512653 -18.94362272782789
C 11.478460794841235 8.149140482512655 -20.94451272782789
C 10.132660794841234 8.504940482512653 -21.08861272782789
H 9.499160794841233 8.459240482512653 -20.24065272782789
C 9.713160794841235 8.954340482512654 -22.39069772782789
H 8.701560794841233 9.198440482512654 -22.60807772782789
C 10.762860794841233 8.951040482512655 -23.29267272782789
Cl 11.234760794841234 9.394940482512654 -25.42137272782789
C 12.040660794841232 8.591940482512653 -23.19151272782789
Cl 13.506060794841234 8.786840482512654 -25.09977272782789
C 12.491060794841234 8.136740482512655 -21.90735272782789
H 13.500660794841233 7.832540482512654 -21.70627272782789
Cl 14.203060794841234 10.116740482512656 -11.62165272782789
C 13.009460794841234 9.477940482512656 -13.36095272782789
C 13.104760794841232 8.148340482512653 -13.63318272782789
H 13.662160794841233 7.523740482512656 -12.95585272782789
C 12.444560794841232 7.583440482512655 -14.79629272782789
H 12.537260794841233 6.559540482512654 -15.03289272782789
C 11.674660794841232 8.429540482512655 -15.57746272782789
Cl 10.410660794841233 7.618240482512656 -17.74573272782789
C 11.569860794841235 9.738040482512654 -15.30281272782789
Cl 10.188760794841235 9.847640482512654 -17.15110272782789
C 12.233260794841234 10.320340482512654 -14.18775272782789
H 12.135260794841232 11.354940482512655 -13.96860272782789
Cl 11.877160794841233 15.774540482512654 -27.26484272782789
C 10.920260794841232 16.388140482512654 -29.40279272782789
C 9.767060794841234 15.677740482512656 -29.64212272782789
H 9.417360794841231 14.955240482512655 -28.90449272782789
C 9.022760794841234 15.894440482512655 -30.85278272782789
H 8.147660794841235 15.361940482512656 -31.12211272782789
C 9.608060794841235 16.855140482512653 -31.69577272782789
Cl 9.640860794841233 17.994740482512654 -33.62255272782789
C 10.726260794841233 17.52034048251266 -31.40499272782789
Cl 11.547260794841234 19.07064048251266 -33.01343272782789
C 11.497160794841234 17.379340482512653 -30.22451272782789
H 12.397960794841234 17.971240482512655 -30.06648272782789
Cl 13.310960794841234 18.560540482512657 -19.61976272782789
C 11.733160794841234 18.034240482512658 -21.36483272782789
C 10.368860794841234 17.818140482512653 -21.16092272782789
H 9.941160794841233 17.880540482512657 -20.18346272782789
C 9.678260794841234 17.497640482512658 -22.36491072782789
H 8.610160794841233 17.292140482512657 -22.44168772782789
C 10.568260794841231 17.617540482512652 -23.45593772782789
Cl 10.565360794841235 17.523240482512655 -26.15627272782789
C 11.750860794841232 17.842140482512654 -23.72683272782789
Cl 12.914560794841234 17.835240482512653 -26.18818272782789
C 12.528760794841235 18.046140482512655 -22.49765372782789
H 13.557460794841232 18.237840482512652 -22.50677972782789
Cl 11.918360794841233 15.176240482512656 -12.34475272782789
C 10.804460794841232 16.19094048251265 -13.89192272782789
C 9.453360794841233 16.133940482512656 -13.67128272782789
H 9.078260794841233 15.639440482512656 -12.78155272782789
C 8.534260794841233 16.816740482512657 -14.60422272782789
H 7.5068607948412325 16.872740482512654 -14.47920272782789
C 9.193760794841234 17.441340482512658 -15.62228272782789
Cl 9.143860794841233 18.729140482512655 -17.47976272782789
C 10.517860794841232 17.491640482512658 -15.852752727827891
Cl 11.477860794841233 18.866740482512654 -17.824402727827888
C 11.413560794841233 16.838440482512652 -14.99384272782789
H 12.459960794841232 16.877640482512653 -15.121112727827889
Cl 20.559860794841235 4.828740482512655 -27.08021272782789
C 19.052560794841234 7.816640482512655 -29.31915272782789
C 17.856860794841232 8.482640482512656 -29.340162727827888
H 17.160260794841236 8.252340482512656 -28.551682727827888
C 17.915960794841233 9.467840482512655 -30.390082727827888
H 17.178360794841232 10.216340482512654 -30.66763272782789
C 19.09506079484124 9.423540482512655 -31.04073272782789
Cl 19.898860794841234 10.773740482512656 -32.85142272782789
C 19.949060794841238 8.453740482512655 -30.49797272782789
Cl -22.500439205158766 7.517140482512653 -31.149922727827892
C 20.356360794841237 7.343340482512653 -29.66652272782789
H 21.147960794841232 7.290340482512656 -28.86054272782789
Cl 21.477360794841232 9.407340482512653 -19.79068272782789
C 19.915860794841237 9.142540482512656 -21.62950272782789
C 18.650260794841238 8.731140482512656 -21.21791272782789
H 18.433560794841235 8.534740482512655 -20.21444272782789
C 17.648660794841234 8.567840482512656 -22.24646672782789
H 16.661560794841236 8.302840482512655 -22.02993272782789
C 17.977660794841235 8.775640482512655 -23.58083272782789
Cl 17.486660794841235 8.868840482512654 -25.92642272782789
C 19.203860794841233 9.160240482512654 -23.94957972782789
Cl 19.645460794841235 9.461040482512656 -26.22502272782789
C 20.224360794841232 9.344240482512655 -22.98364002782789
H 21.199860794841236 9.656140482512656 -23.30203272782789
Cl 21.458960794841232 8.843740482512656 -11.31425272782789
C 19.596260794841236 9.025840482512654 -13.25678272782789
C 18.321060794841237 9.070640482512653 -12.81495272782789
H 18.114960794841238 9.054640482512655 -11.79645272782789
C 17.332260794841233 9.148640482512656 -13.89202272782789
H 16.274460794841232 9.171140482512653 -13.72836272782789
C 17.897460794841237 9.190540482512654 -15.14180272782789
Cl 17.537960794841233 9.343040482512654 -17.43451272782789
C 19.155160794841237 9.169740482512656 -15.59777272782789
Cl 19.864460794841236 9.215040482512654 -18.10380272782789
C 20.112560794841237 9.047240482512654 -14.54848272782789
H 21.173060794841234 9.009540482512653 -14.70456272782789
Cl 21.486560794841232 17.734040482512654 -28.78629272782789
C 20.390760794841235 17.635640482512656 -30.93698272782789
C 19.136360794841238 17.129640482512656 -30.69998272782789
H 18.818460794841236 16.874040482512655 -29.71686272782789
C 18.368360794841237 16.799040482512652 -31.903212727827892
H 17.405460794841233 16.357740482512654 -31.80771272782789
C 18.875060794841232 17.049340482512655 -33.18855272782789
Cl 17.343060794841236 16.231940482512655 33.866647272172116
C 20.078560794841238 17.611540482512652 -33.272352727827894
Cl 20.605160794841233 17.908540482512656 32.905947272172114
C 20.893260794841233 17.950640482512654 -32.214172727827886
H 21.892060794841235 18.337840482512654 -32.36758272782789
Cl 20.249860794841233 16.434240482512656 -19.70424272782789
C 19.122760794841234 16.901940482512657 -21.62621272782789
C 18.181860794841235 17.936340482512655 -21.665422727827888
H 17.926760794841236 18.473640482512657 -20.76471272782789
C 17.636660794841234 18.357640482512657 -22.91844472782789
H 16.972160794841237 19.179140482512658 -23.05846970782789
C 17.924760794841234 17.553640482512655 -23.99423872782789
Cl 17.853260794841233 16.748140482512653 -26.09892272782789
C 18.760260794841237 16.518340482512656 -23.92690372782789
Cl 19.437360794841233 15.175340482512654 -25.93174272782789
C 19.474660794841235 16.162940482512653 -22.68365172782789
H 20.203060794841235 15.433140482512654 -22.60628572782789
Cl 18.464160794841234 18.770040482512655 -13.759992727827889
C 17.492260794841236 17.623640482512656 -15.69644272782789
C 16.18986079484123 17.981140482512657 -15.94452272782789
H 15.740460794841232 18.72454048251265 -15.33658272782789
C 15.507560794841234 17.280940482512655 -17.02713272782789
H 14.522860794841234 17.475940482512655 -17.29122272782789
C 16.208560794841233 16.353740482512656 -17.76693272782789
Cl 16.771060794841233 14.703040482512653 -19.39816272782789
C 17.498460794841236 16.081840482512654 -17.50179272782789
Cl 19.106260794841234 14.574840482512654 -18.846362727827888
C 18.195360794841235 16.698040482512653 -16.44109272782789
H 19.210660794841232 16.476840482512657 -16.20406272782789
C 17.416260794841236 13.317740482512656 -22.96318402782789
C 17.155460794841233 11.998040482512655 -23.40046772782789
C 15.932660794841235 11.637640482512653 -23.99508372782789
C 14.935060794841233 12.647840482512654 -24.13304272782789
C 16.45656079484123 14.352040482512654 -23.17424772782789
C 15.226360794841233 14.011140482512653 -23.76555072782789
C 13.500060794841234 12.583740482512654 -24.52345272782789
C 13.974060794841234 14.874640482512655 -24.06538272782789
C 12.931260794841235 13.812740482512654 -24.47042272782789
H 18.333660794841236 13.550740482512653 -22.46706172782789
H 17.872360794841235 11.245740482512653 -23.25882572782789
H 15.713360794841234 10.623340482512655 -24.24313272782789
H 16.657460794841235 15.325840482512655 -22.83422472782789
H 12.967360794841232 11.702540482512655 -24.81343272782789
H 14.159160794841233 15.514640482512656 -24.90141272782789
H 13.641360794841232 15.450440482512656 -23.20754772782789
H 11.937360794841235 14.020340482512657 -24.74402272782789
Cl -19.716849205158766 -15.456839517487346 -4.62165272782789
C -20.766279205158767 -14.596359517487345 -6.54535272782789
C -22.049989205158766 -14.058174517487345 -6.35945272782789
H -22.516979205158766 -14.035222517487345 -5.431552727827889
C 22.445060794841233 -13.525153517487345 -7.440452727827889
H 21.473860794841237 -13.203531117487346 -7.335252727827889
C -22.27890920515877 -13.483317517487345 -8.691252727827889
Cl -21.924989205158766 -13.183687617487346 -10.88685272782789
C -21.035189205158765 -14.012301517487344 -8.87045272782789
Cl -19.90361920515877 -14.035838517487345 -11.00825272782789
C -20.240279205158767 -14.566459517487345 -7.794052727827889
H -19.277909205158767 -15.005519517487345 -7.9779527278278906
Cl -17.886799205158766 -18.791489517487346 3.663147272172111
C -18.479659205158768 -18.102199517487346 1.7095472721721094
C -19.78622920515877 -17.712079517487346 1.5083472721721094
H -20.494109205158768 -17.727369517487347 2.28394727217211
C -20.207739205158767 -17.276499517487345 0.1841472721721118
H -21.217389205158767 -17.012299517487346 -0.011352727827890874
C -19.163319205158768 -17.279159517487344 -0.7214527278278915
Cl -18.844929205158767 -16.747139517487344 -3.1084527278278884
C -17.919569205158766 -17.617289517487343 -0.5255527278278898
Cl -16.509499205158768 -17.383709517487347 -2.35465272782789
C -17.475719205158768 -18.058139517487344 0.7338472721721097
